소분류코드,소분류명,세분류명
821,금속관련 기계·설비 조작원,['금속가공 기계 조작원']
822,판금원 및 제관원,"['판금기 조작원', '제관원', '제관기 조작원']"
823,단조원 및 주조원,"['단조기 조작원', '주조원', '주조기 조작원']"
824,용접원 및 용접기 조작원,['용접기 조작원']
825,도장원 및 도금원,['도금 및 금속 분무기 조작원']
826,비금속제품 생산기계 조작원,"['점토제품 생산기 조작원', '시멘트 및 광물제품 제조기 조작원', '광석 및 석제품 가공기 조작원', '기타 비금속제품 관련 생산기 조작원']"
831,전기공,"['내선 전기공', '외선 전기공']"
832,전기·전자 기기 설치·수리원,"['가전제품 설치 및 수리원', '기타 전기·전자기기 설치 및 수리원']"
835,전기·전자 부품·제품 생산기계 조작원,"['일차전지 및 이차전지 제조 기계 조작원', '전자 부품 및 제품 제조 기계 조작원']"
841,정보통신기기 설치·수리원,"['이동전화기 수리원', '기타 정보 통신기기 설치 및 수리원']"
842,방송·통신장비 설치·수리원,"['통신 관련 장비 설치 및 수리원', '방송·통신·인터넷 케이블 설치 및 수리원']"
851,석유·화학물 가공장치 조작원,"['화학물 가공 장치 조작원', '기타 석유 및 화학물 가공 장치 조작원']"
852,고무·플라스틱 및 화학제품 생산기계 조작원 및 조립원,"['플라스틱제품 생산기 조작원', '화학제품 생산기 조작원', '고무 및 플라스틱제품 조립원']"
853,환경관련 장치 조작원,['재활용 처리 및 소각로 조작원']
861,섬유 제조·가공 기계 조작원,"['직조기 및 편직기 조작원', '표백 및 염색 관련 기계 조작원']"
862,"패턴사, 재단사 및 재봉사","['재단사', '재봉사', '기타 섬유 및 가죽 관련 기능 종사원']"
863,의복 제조원 및 수선원,"['양장 및 양복 제조원', '모피 및 가죽 의복 제조원', '의복·가죽 및 모피 수선원', '기타 의복 제조 관련 기능 종사원']"
864,"제화원, 기타 섬유·의복 기계 조작원 및 조립원","['신발 제조기 조작원', '세탁 기계 조작원', '기타 직물·신발 관련 기계 조작원']"
871,제과·제빵원 및 떡 제조원,['떡 제조원']
872,식품 가공 기능원,"['김치 및 밑반찬 제조 종사원', '도시락 제조원', '식품 및 담배 등급원', '기타 식품 가공 관련 기능 종사원']"
873,식품 가공 기계 조작원,"['제분 및 도정 관련 기계 조작원', '곡물가공 제품 기계 조작원', '과실 및 채소가공 관련 기계 조작원', '음료 제조 관련 기계 조작원', '기타 식품가공 관련 기계 조작원']"
881,인쇄기계·사진현상기 조작원,['사진 인화 및 현상기 조작원']
882,목재·펄프·종이 생산기계 조작원,"['펄프 및 종이 제조 장치 조작원', '종이제품 생산기 조작원', '기타 목재 및 종이 관련 기계 조작원']"
883,가구·목제품 제조·수리원,"['가구 조립원', '목제품 제조 관련 종사원']"
884,공예원 및 귀금속세공원,['귀금속 및 보석 세공원']
885,악기·간판 및 기타 제조 종사자,"['간판 제작 및 설치원', '기타 기능 관련 종사원', '기타 기계 조작원']"
901,작물재배 종사자,"['채소 및 특용작물 재배원', '과수작물 재배원', '원예작물 재배원', '조경원']"
902,낙농·사육 종사자,"['한우 및 육우 사육원', '돼지 사육원', '가금 사육원', '기타 축산 및 사육 관련 종사원']"
903,임업 종사자,['기타 임업 관련 종사원']
904,어업 종사자,['어부 및 해녀']
905,농림어업 단순 종사자,"['임업 관련 단순 종사원', '어업 관련 단순 종사원']"
